applicant_id,user_id,user_company_id,company_id,applied_at,approved_at,is_approved,is_rejected,is_deactivated,is_road_ready,shipping_street_address,shipping_street_address2,shipping_city,shipping_state,shipping_zip,dl_first_name,dl_middle_name,dl_last_name,dob,email,facebook_uid,first_name,last_name,is_duplicate,gender,is_initial_application,mobile_platform,phone,region_home,region_approved,is_pro,is_open_lead,is_marketing_coordinator,is_event_coordinator,is_content_specialist,is_lfg,is_beta,is_online_community_specialist,rental_interest,tracking_id,placement,google_click_location,google_interest_location,google_device,facebook_adname,instagram_adname,google_click_id,var1,var2,var3,advertise_city,robocop_key,page,x_forwarded_for,referred_at,referring_company_id,referral_coupon,referral_code,referrer_amount,referree_amount,referral_required_rides,referral_tiers,referral_days_until_expiration,incentive_id,active_vehicle_company_id,ds
9053640481161914,4989925099526755,7869480369062726,6301148484934829,2013-05-02 05:51:33.000,,False,False,False,False,413 Courtney Cape,1704 Ashley Overpass Apt. 347,,,,Jessica,Mitchell,Montgomery,1972-12-21 00:00:00.000,sheliareynolds@test.com,1524663732.0,David,Ford,False,,,ios,+178662031,PDX,PDX,,False,,,,,,,,4847732252421985,,,,,,,9316670818817387,,,,,,,,,3054450787521885,,,,,,,,9759295603702455,5186965983198290,2024-08-21
8401459155906865,3571101719406222,1510007126083294,5289677090238937,2013-05-08 22:09:15.000,,False,False,False,False,391 Rodriguez Wells,3215 Michael Underpass,,,,Robin,Henderson,Davis,,garciamelissa@example.com,1476562663.0,Brandon,Griffin,False,,,ios,+556187858,,,,False,,,,,,,,7447367563091677,,,,,,,1306350938238789,,,,,,,,,1001708149006061,,,,,,,,5037006579773630,9326751753662380,2024-08-21
3926707224007132,2425451532767999,3369770794384673,4791001302660446,2013-05-12 21:56:18.000,,False,False,False,False,73779 Hayes Place,957 Sharon Greens,,,,Christopher,Combs,Morton,,edwarddean@example.com,11700569.0,Andrea,May,False,,,ios,+149126939,SFO,SFO,,False,,,,,,,,4029077517090684,,,,,,,3414539254264891,,,,,,,,,1445389008299092,,,,,,,,3476384380852928,2677581737583585,2024-08-21
6664078171967593,4592343877859615,4524685972037052,8520951015887533,2013-05-15 00:39:57.000,,False,False,False,False,6780 Jeffrey Lane,309 Gutierrez Corner Suite 776,Kansas City,MO,64153.0,Michael,Hill,Arnold,1980-11-23 00:00:00.000,bray@test.com,100001368991257.0,Jessica,Robinson,False,male,,android,+440301704,DCA,DCA,,False,,,,,,,,3024678858923482,,,,,,,3900913971398373,,,,,,,,,6984927389633172,,,,,,,,8788607151601286,6567387477391972,2024-08-21
1676730015308612,7431172917073505,4037419666782897,3491460049137004,2013-05-17 16:15:10.000,,False,False,False,False,9308 Rebecca Cape,6721 Daniel Roads,,,,Curtis,Taylor,Martin,,andreastein@mail.com,100001437936553.0,Angela,King,False,,,android,+484707494,LAX,LAX,,False,,,,,,,,1201129096055888,,,,,,,4077152817828758,,,,,,,,,2956607175455322,,,,,,,,5244254424488785,3648032011533873,2024-08-21
7783955787035251,6574915324575245,6471406067154455,1418828333120257,2013-05-19 18:30:36.000,,False,False,False,False,5824 James Meadows Suite 883,85312 Moreno Junctions Suite 871,,,,Scott,Higgins,Davis,,alexanderblackburn@example.com,505202459.0,Beth,Thomas,False,,,ios,+906210105,SFO,SFO,,False,,,,,,,,9140643147497570,,,,,,,3251721831454012,,,,,,,,,5952700800190104,,,,,,,,1762591535551287,6891624846621048,2024-08-21
7744961902135349,6777871166852477,9225268471733483,5249682306658438,2013-05-20 13:40:38.000,,False,False,False,False,3022 Barbara Skyway Suite 611,74116 Sanchez Courts Apt. 448,,,,Kenneth,Hardy,Frost,,edgarlawrence@mail.com,522030082.0,Cheryl,Campbell,False,female,,ios,+855214213,SEA,SEA,,False,,,,,,,,2022171074470015,,,,,,,5444878808009679,,,,,,,,,5841006434486322,,,,,,,,8475692702525947,9838286658072236,2024-08-21
1872093915198491,1290179625990127,2356826332750671,3229019156618193,2013-05-21 06:12:18.000,,,False,False,False,4727 Weeks Port,4618 Olsen Creek,,,,John,Atkinson,Lane,,greenbrian@mail.com,,Eric,Christensen,False,,,ios,+405514099,SEA,SEA,,True,,,,,,,,5034771008581807,,,,,,,2431229550962239,,,,,,,,,9473141818719300,,,,,,,,6860632623996002,1813992531033077,2024-08-21
1128562419904897,5462746709998695,7731113407594642,7932125986167482,2013-05-22 17:44:13.000,,False,False,False,False,67069 Brandi Springs,96923 Diane Parkway Suite 302,,,,Caroline,Hobbs,Estrada,,sacevedo@mail.com,100001429370947.0,Joshua,Macdonald,False,,,ios,+570885667,LAX,LAX,,False,,,,,,,,5491209878490900,,,,,,,7996995848238620,,,,,,,,,9675601326557183,,,,,,,,6367699691451093,8438133385382729,2024-08-21
5768902323288645,9384670382464436,2560828099973979,6783325857216408,2013-05-23 18:41:22.000,,False,False,False,False,14937 Justin Knolls Suite 737,49574 Price Knoll,,,,Amy,Lee,Cole,,angela86@example.com,1058220018.0,Stephanie,Hicks,False,,,android,+302637130,LAX,LAX,,False,,,,,,,,5796495375637917,,,,,,,4351756359862539,,,,,,,,,1932663784501642,,,,,,,,6152516622230197,8706332757827918,2024-08-21
